col_ID,Target,LST,RH,EWW,NSW
A1,0.86,281.12,81.79,0.85,-0.69
A2,0.83,281.2,82.83,0.68,-0.75
A3,0.81,282.27,75.9,1.3,-0.6
A4,0.8,284.65,74.15,1.32,-0.18
A5,0.77,290.88,71.98,0.32,-0.49
A6,0.68,295.97,72.88,-0.01,-0.09
A7,0.69,295.4,71.85,0.25,-0.32
A8,0.69,299.25,72.33,-0.26,-0.19
A9,0.7,292.12,76.38,0.36,-0.02
A10,0.7,291.59,79.13,0.14,-0.13
A11,0.82,287.91,80.74,0.32,-0.39
A12,0.79,283.05,83.51,1.07,-0.09
A13,0.83,283.34,81.54,1.1,-0.66
A14,0.82,280.67,79.18,1.2,-0.6
A15,0.8,283.84,79.2,0.17,-0.75
A16,0.79,286.91,70.92,0.81,-0.54
A17,0.77,293.05,75.52,0.44,-0.05
A18,0.7,294.48,74.5,0.41,-0.11
A19,0.68,293.67,74.19,0.04,0.28
A20,0.7,297.3,69.69,0.23,-0.04
A21,0.73,295.71,78.93,-0.33,-0.11
A22,0.74,293.57,79.17,0.29,-0.06
A23,0.86,289.1,79.82,0.49,-0.33
A24,0.85,283.1,78.85,1.11,-0.58
A25,0.87,280.24,82.86,0.72,-0.56
A26,0.84,281.42,83.92,0.91,-0.58
A27,0.83,281.65,75.88,1.27,-0.69
A28,0.82,285.89,69.5,1.23,-0.64
A29,0.77,290.03,70.24,0.97,0.15
A30,0.7,295.01,72.6,0.32,0.08
A31,0.71,296.03,69.88,0.47,0.18
A32,0.7,296.73,62.73,0.4,0.35
A33,0.72,295.45,70.62,-0.45,-0.29
A34,0.73,294.49,70.67,0.08,-0.31
A35,0.83,288.78,78.31,0.44,-0.24
A36,0.85,284.52,77.23,0.77,-0.72
A37,0.84,279.7,89.53,0.48,-0.17
A38,0.84,282,77.14,0.65,-1.2
A39,0.83,284.45,70.92,1.4,-1.12
A40,0.81,288.14,70.83,0.71,-0.68
A41,0.79,289.66,65.05,1.39,-0.2
A42,0.69,294.65,63.84,0.37,0.28
A43,0.69,294.88,57.79,0.56,1.02
A44,0.71,298.96,59.79,0.32,1.01
A45,0.41,297.73,47.92,0.16,1.04
A46,0.46,296.72,53.77,0.02,1.27
A47,0.76,287.82,82.79,0.36,-0.17
A48,0.79,285.88,77.87,0.73,-0.84
A49,0.83,281.95,83.37,1.18,-0.66
A50,0.81,281.21,77.82,1.36,-0.88
A51,0.78,282.86,81.37,0.25,-0.34
A52,0.76,289.07,77.01,1.01,-0.18
A53,0.77,291.9,70.58,0.66,0.08
A54,0.68,294.85,69.02,0.73,0.23
A55,0.7,295.03,72.99,0.23,0.14
A56,0.69,298.4,73.71,0.34,0.12
A57,0.72,295.97,77.55,-0.28,-0.14
A58,0.73,292.58,72.6,0.53,-0.08
A59,0.85,287.92,86.34,0.43,0.36
A60,0.87,283.67,77.6,1.27,-0.78
A61,0.85,279.62,85.32,0.53,-0.59
A62,0.85,280.74,81.33,1.05,-0.68
A63,0.83,280.96,83.71,1.06,-0.11
A64,0.84,288.33,77.68,0.77,-0.06
A65,0.79,293.88,68.18,0.12,-0.42
A66,0.71,293.1,72.63,0.39,0.02
A67,0.69,297.61,63.65,0.07,-0.22
A68,0.72,296.21,76.59,-0.04,0.15
A69,0.73,295.9,75.02,0.27,0.26
A70,0.76,295.95,77.3,0.16,-0.01
A71,0.83,289.68,76.96,0.3,-0.56
A72,0.85,287.78,73.67,1.39,-0.84
A73,0.85,281.39,82.64,0.86,-0.81
A74,0.83,282.84,78.5,1.11,-0.9
A75,0.82,284.24,78.59,0.63,-0.71
A76,0.79,285.05,80.71,0.53,-0.43
A77,0.78,288.5,66.98,1.3,-0.6
A78,0.68,291.52,72.05,0.98,0.24
A79,0.7,295.12,68.64,0.38,-0.1
A80,0.71,296.6,70.45,0.34,0.23
A81,0.71,295.41,70.71,0.17,-0.08
A82,0.71,293.96,76.24,-0.33,-0.23
A83,0.84,288.74,78.82,0.49,-0.38
A84,0.84,284.11,81.77,0.68,-0.51
A85,0.86,280.87,86.42,0.73,-0.39
A86,0.85,281.86,76.9,0.91,-1.1
A87,0.82,282.3,75.6,1.27,-0.62
A88,0.81,288.46,63.35,1.74,-0.66
A89,0.8,291.01,72.59,0.5,0.01
A90,0.68,295.73,66.63,-0.29,-0.59
A91,0.69,295.1,72.89,0.32,0.21
A92,0.7,299.83,71.53,0.24,0.18
A93,0.69,297.01,69.52,-0.04,0.09
A94,0.73,294.99,67.36,0.11,-0.24
A95,0.81,290.38,67.24,0.54,-0.33
A96,0.82,287.85,75.85,1.2,-0.22
A97,0.83,281.01,84.03,0.75,-0.7
A98,0.83,280.26,72.63,1.29,-1.12
A99,0.81,283.53,68.53,1.4,-0.85
A100,0.79,286.1,69.53,0.52,-0.34
A101,0.77,290.3,70.42,-0.18,-0.37
A102,0.68,293.29,74.81,0.53,0.12
A103,0.69,296.24,70.36,0,-0.22
A104,0.7,300.79,68.34,0.02,0.01
A105,0.71,296.29,70.04,0.1,-0.14
A106,0.71,294.76,70.46,0.29,-0.11
A107,0.81,289.87,75.23,0.24,-0.42
A108,0.83,283.45,78.28,1.06,-0.65
A109,0.86,282.69,83.62,0.64,-0.72
A110,0.84,282.13,77.77,1.22,-0.78
A111,0.82,281.5,74.33,1.52,-0.46
A112,0.81,287.07,73.23,1.07,-0.28
A113,0.78,291.8,58.82,0.64,-0.17
A114,0.67,291.59,57.13,1.19,0.13
A115,0.67,298.13,60.95,0.8,1.4
A116,0.42,304.33,46.74,0.06,1.13
A117,0.43,298.5,47.2,0.04,1.19
A118,0.33,294.81,46.55,0.2,1.07
A119,0.79,290.12,77.03,0.83,-0.58
A120,0.72,285.05,79.53,0.87,-0.52
A121,0.71,282.49,83.57,0.72,-0.75
A122,0.72,281.84,87.08,0.85,0.06
A123,0.69,284.67,79.13,1.15,-0.38
A124,0.67,289.59,69.78,0.69,-0.75
A125,0.71,292.59,76.37,0.11,-0.21
A126,0.66,297.58,67.49,0.36,-0.05
A127,0.69,296.3,69.88,0.35,0.07
A128,0.68,300.56,70.8,0.13,-0.04
A129,0.71,296.23,73.35,0.09,-0.01
A130,0.71,291.28,77.13,0.3,-0.09
A131,0.8,288.28,76.35,0.95,-0.25
A132,0.81,283.66,82.4,0.74,-0.35
A133,0.82,282.93,84.85,0.63,-0.68
A134,0.79,281.89,75.6,1.06,-1.12
A135,0.79,284.56,77.31,1.19,-0.43
A136,0.75,289.26,72.72,1.03,-0.42
A137,0.76,290.62,75.35,0.8,-0.16
A138,0.7,292.93,77.2,0.17,0.05
A139,0.71,298.96,74.08,0.09,0.29
A140,0.71,297.51,77.29,-0.59,-0.2
A141,0.72,296.23,77.95,-0.04,0.18
A142,0.74,292.87,82.91,-0.33,0.21
A143,0.83,287.9,83.81,0.19,-0.31
A144,0.83,284.01,81.71,0.59,-0.76
A145,0.79,279.83,83.07,1.5,-0.67
A146,0.76,280.17,84.33,0.7,-0.39
A147,0.78,282.45,78.88,0.87,-0.95
A148,0.77,286.65,78.76,0.48,-0.37
A149,0.79,285.88,79.19,0.01,-0.47
A150,0.69,289.12,73.77,1.11,0.03
A151,0.71,297.68,72.63,0.44,0.15
A152,0.7,301,75.05,-0.26,0.02
A153,0.72,297.68,69.08,0.33,-0.1
A154,0.71,281.33,84.98,-0.17,-0.02
A155,0.71,279.78,85.96,-0.21,0.15
A156,0.7,282.12,86.87,0.11,-0.42
A157,0.71,285.89,77.98,0.28,-0.39
A158,0.74,291.44,74.64,0.02,-0.39
A159,0.62,294.02,70.48,-0.21,-0.29
A160,0.6,296.41,67.49,0.25,-0.63
A161,0.6,297.39,62.6,-0.02,-0.22
A162,0.66,294.76,73.08,-0.01,-0.05
A163,0.67,291.55,74.05,-0.15,0.04
A164,0.77,287.92,76.04,-0.2,0.23
A165,0.76,281.57,80.75,-0.19,0.41
A166,0.76,282.15,87.45,-0.08,-0.01
A167,0.73,279.1,87.19,-0.09,-0.09
A168,0.73,284.37,79.25,-0.34,-0.1
A169,0.73,286.06,74.25,-0.09,-0.45
A170,0.73,290.49,70.67,0.01,-0.02
A171,0.63,292.94,69.7,0.12,-0.44
A172,0.61,293.06,67.19,-0.19,0.57
A173,0.61,297.25,60.93,0.02,0.13
A174,0.63,294.93,72.41,-0.22,0.18
A175,0.68,291.97,75.21,-0.26,0.18
A176,0.77,288.2,77.63,-0.14,0.1
A177,0.76,282.84,80.78,-0.13,-0.03
A178,0.74,280.8,88.09,-0.25,0
A179,0.74,279.02,86.73,-0.22,0.15
A180,0.72,282.13,83.64,0.02,-0.44
A181,0.7,286.79,76.22,0.14,-0.55
A182,0.71,288.24,64.75,0.19,-0.08
A183,0.64,293.96,62.52,0.04,-0.06
A184,0.67,295.79,60.12,0.11,-0.13
A185,0.73,300.21,64.66,0.07,-0.03
A186,0.72,299.19,60.87,-0.41,0.35
A187,0.6,293.9,64.81,-0.13,-0.05
A188,0.73,288.92,74.77,-0.19,0.22
A189,0.73,284.17,81.2,-0.22,-0.07
A190,0.74,281.04,85.67,-0.3,0.72
A191,0.7,280.07,88.76,-0.22,-0.53
A192,0.72,282.94,87.13,0.2,-0.95
A193,0.71,288.15,76.18,0.15,-0.55
A194,0.7,290.08,66.05,0.35,-0.45
A195,0.62,294.28,60.77,-0.04,0.33
A196,0.71,298.21,61.33,0.24,-0.08
A197,0.72,300.72,60.69,0.02,0.16
A198,0.7,299.07,59.55,-0.06,0.14
A199,0.53,295.68,74.17,-0.23,-0.11
A200,0.71,288.89,78.48,-0.28,0.32
A201,0.71,284.62,83.04,-0.3,-0.24
A202,0.74,282.22,89.7,-0.03,-0.23
A203,0.71,280.39,88.05,0.02,-0.49
A204,0.69,282.66,76.83,-0.31,0.63
A205,0.69,287.74,74.35,0.03,0
A206,0.68,293.14,64.97,0.04,-0.1
A207,0.6,296,60.71,0.24,-0.14
A208,0.62,296.64,63.11,0.07,-0.22
A209,0.61,296.73,67.17,-0.14,0.09
A210,0.6,297.1,68.11,-0.35,0.33
A211,0.61,294,60.97,0.04,-0.03
A212,0.7,289.11,76.95,-0.35,0.65
A213,0.73,283.47,84.26,0.11,-0.28
A214,0.73,280.12,85.67,-0.33,0.42
A215,0.71,279.81,88.94,-0.09,-0.23
A216,0.73,281.41,86.27,-0.01,-0.12
A217,0.7,285.81,74.43,-0.11,0.17
A218,0.69,294.12,65.68,-0.34,-0.16
A219,0.63,295.3,64.04,0.14,-0.25
A220,0.69,298.04,60.8,0.08,0.03
A221,0.7,299.41,65.33,-0.25,0.27
A222,0.69,298.98,63.85,-0.03,0.17
A223,0.54,297.69,64.02,-0.28,0.28
A224,0.71,291.22,69.06,-0.32,0.03
A225,0.69,283.67,84.29,0.22,-0.79
A226,0.71,278.88,91.69,0.04,-0.3
A227,0.72,282.48,93.36,0.18,-0.67
A228,0.73,282.87,82.52,-0.14,-0.28
A229,0.72,287.85,84.37,0.02,-0.48
A230,0.71,287.6,73.26,0.4,-0.73
A231,0.62,293.5,63.68,0.43,-0.51
A232,0.61,296.65,62.65,0.14,-0.55
A233,0.62,298.11,58.95,0.13,-0.15
A234,0.62,295.45,60.99,0.15,-0.24
A235,0.64,295.07,64.48,-0.47,0.52
A236,0.73,288.5,74.18,-0.26,0.22
A237,0.78,284.36,81.05,-0.16,0.12
A238,0.78,280.67,84.78,-0.27,0.54
A239,0.76,277.36,88.08,-0.14,-0.56
A240,0.75,282.29,82.77,0.04,-0.27
A241,0.72,286.79,74.92,0.45,-0.88
A242,0.73,290.97,70.4,0,-0.06
A243,0.61,295.19,67.56,-0.14,0.17
A244,0.67,297.83,63.42,0.06,-0.28
A245,0.65,299.39,58.53,-0.19,0.2
A246,0.67,297.45,60.76,-0.09,0.16
A247,0.57,295.58,60.08,-0.19,0.14
A248,0.69,290.94,66.18,-0.05,-0.07
A249,0.74,284.66,79.72,-0.08,-0.01
A250,0.75,281.5,87.48,-0.27,0.15
A251,0.73,279.83,87.09,-0.1,-0.54
A252,0.71,281.36,83.47,-0.05,-0.54
A253,0.77,287.09,71.01,-0.06,-0.18
A254,0.73,292.17,64.4,-0.29,0.03
A255,0.7,295.04,67.6,0.13,-0.14
A256,0.61,297.82,59.98,-0.11,-0.07
A257,0.71,302.85,63.86,-0.14,-0.16
A258,0.67,295.72,60.28,0.04,-0.06
A259,0.58,293.28,67.6,-0.1,-0.05
A260,0.7,290.28,72.99,-0.28,-0.14
A261,0.72,284.16,84.45,-0.05,-0.34
A262,0.74,280.68,85.51,-0.31,0.28
A263,0.74,281.01,63.77,0.09,-0.42
A264,0.72,282.22,62.15,0.06,1.17
A265,0.69,285.48,65.52,0.04,1.13
A266,0.41,291.32,41.12,0.12,1.24
A267,0.42,293.23,42.87,0.57,1.22
A268,0.42,300.02,54.99,0.36,1.11
A269,0.43,305.84,55.32,0,1.03
A270,0.42,301.06,53.92,-0.1,1.24
A271,0.34,297.05,52.08,-0.22,0.13
A272,0.81,289.96,81.85,0.15,-0.72
A273,0.77,284.09,82.84,-0.07,-0.01
A274,0.75,281.94,88.51,-0.15,-0.15
A275,0.79,282.67,85.56,-0.22,0.55
A276,0.83,283.4,87.14,0.07,-0.18
A277,0.8,286.47,78.8,-0.05,-0.61
A278,0.77,293.32,76.25,-0.18,-0.1
A279,0.69,297.65,62.52,0.06,-0.2
A280,0.74,298.58,60.61,0.26,-0.24
A281,0.72,302.2,64.14,-0.05,0.06
A282,0.68,295.55,65.06,-0.17,0.12
A283,0.56,291.91,70.72,-0.13,0.33
A284,0.68,289.5,75.33,0.13,-0.05
A285,0.73,284.81,84.7,-0.13,0.18
A286,0.75,280.23,90.49,-0.19,-0.05
A287,0.73,279.6,90.35,-0.04,-0.71
A288,0.73,283.46,84.64,0.04,-0.3
A289,0.7,286.39,77.08,0.06,-0.41
A290,0.71,290.22,72.17,0.11,-0.2
A291,0.66,292.79,75.65,-0.07,-0.08
A292,0.68,295.83,64.65,-0.09,0.26
A293,0.61,298.64,69.82,-0.28,0.13
A294,0.62,296.1,65.44,-0.35,0.48
A295,0.62,294.08,70.58,-0.53,0.97
A296,0.71,288.17,79.89,-0.26,0.21
A297,0.74,283.1,86.44,-0.06,-0.21
A298,0.75,278.66,91.8,0.14,-0.5
A299,0.73,280.06,84.29,-0.25,0.47
A300,0.71,282.38,88.03,-0.03,-0.65
A301,0.7,285.88,80.54,-0.18,-0.02
A302,0.71,286.05,80.45,0,-0.43
A303,0.63,291.14,75.57,0.48,-0.48
A304,0.65,296.29,63.61,0.05,0.24
A305,0.66,299.38,64.32,-0.24,0.41
A306,0.6,295.7,62.57,0.03,-0.08
