col_ID,temp,atemp,hum,windspeed,casual,registered,Target
A1,0.344167,0.363625,0.805833,0.160446,331,654,985
A2,0.363478,0.353739,0.696087,0.248539,131,670,801
A3,0.196364,0.189405,0.437273,0.248309,120,1229,1349
A4,0.2,0.212122,0.590435,0.160296,108,1454,1562
A5,0.226957,0.22927,0.436957,0.1869,82,1518,1600
A6,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
A7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
A8,0.165,0.162254,0.535833,0.266804,68,891,959
A9,0.138333,0.116175,0.434167,0.36195,54,768,822
A10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
A11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
A12,0.172727,0.160473,0.599545,0.304627,25,1137,1162
A13,0.165,0.150883,0.470417,0.301,38,1368,1406
A14,0.16087,0.188413,0.537826,0.126548,54,1367,1421
A15,0.233333,0.248112,0.49875,0.157963,222,1026,1248
A16,0.231667,0.234217,0.48375,0.188433,251,953,1204
A17,0.175833,0.176771,0.5375,0.194017,117,883,1000
A18,0.216667,0.232333,0.861667,0.146775,9,674,683
A19,0.292174,0.298422,0.741739,0.208317,78,1572,1650
A20,0.261667,0.25505,0.538333,0.195904,83,1844,1927
A21,0.1775,0.157833,0.457083,0.353242,75,1468,1543
A22,0.0591304,0.0790696,0.4,0.17197,93,888,981
A23,0.0965217,0.0988391,0.436522,0.2466,150,836,986
A24,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
A25,0.223478,0.234526,0.616957,0.129796,186,1799,1985
A26,0.2175,0.2036,0.8625,0.29385,34,472,506
A27,0.195,0.2197,0.6875,0.113837,15,416,431
A28,0.203478,0.223317,0.793043,0.1233,38,1129,1167
A29,0.196522,0.212126,0.651739,0.145365,123,975,1098
A30,0.216522,0.250322,0.722174,0.0739826,140,956,1096
A31,0.180833,0.18625,0.60375,0.187192,42,1459,1501
A32,0.192174,0.23453,0.829565,0.053213,47,1313,1360
A33,0.26,0.254417,0.775417,0.264308,72,1454,1526
A34,0.186957,0.177878,0.437826,0.277752,61,1489,1550
A35,0.211304,0.228587,0.585217,0.127839,88,1620,1708
A36,0.233333,0.243058,0.929167,0.161079,100,905,1005
A37,0.285833,0.291671,0.568333,0.1418,354,1269,1623
A38,0.271667,0.303658,0.738333,0.0454083,120,1592,1712
A39,0.220833,0.198246,0.537917,0.36195,64,1466,1530
A40,0.134783,0.144283,0.494783,0.188839,53,1552,1605
A41,0.144348,0.149548,0.437391,0.221935,47,1491,1538
A42,0.189091,0.213509,0.506364,0.10855,149,1597,1746
A43,0.2225,0.232954,0.544167,0.203367,288,1184,1472
A44,0.316522,0.324113,0.457391,0.260883,397,1192,1589
A45,0.415,0.39835,0.375833,0.417908,208,1705,1913
A46,0.266087,0.254274,0.314348,0.291374,140,1675,1815
A47,0.318261,0.3162,0.423478,0.251791,218,1897,2115
A48,0.435833,0.428658,0.505,0.230104,259,2216,2475
A49,0.521667,0.511983,0.516667,0.264925,579,2348,2927
A50,0.399167,0.391404,0.187917,0.507463,532,1103,1635
A51,0.285217,0.27733,0.407826,0.223235,639,1173,1812
A52,0.303333,0.284075,0.605,0.307846,195,912,1107
A53,0.182222,0.186033,0.577778,0.195683,74,1376,1450
A54,0.221739,0.245717,0.423043,0.094113,139,1778,1917
A55,0.295652,0.289191,0.697391,0.250496,100,1707,1807
A56,0.364348,0.350461,0.712174,0.346539,120,1341,1461
A57,0.2825,0.282192,0.537917,0.186571,424,1545,1969
A58,0.343478,0.351109,0.68,0.125248,694,1708,2402
A59,0.407273,0.400118,0.876364,0.289686,81,1365,1446
A60,0.266667,0.263879,0.535,0.216425,137,1714,1851
A61,0.335,0.320071,0.449583,0.307833,231,1903,2134
A62,0.198333,0.200133,0.318333,0.225754,123,1562,1685
A63,0.261667,0.255679,0.610417,0.203346,214,1730,1944
A64,0.384167,0.378779,0.789167,0.251871,640,1437,2077
A65,0.376522,0.366252,0.948261,0.343287,114,491,605
A66,0.261739,0.238461,0.551304,0.341352,244,1628,1872
A67,0.2925,0.3024,0.420833,0.12065,316,1817,2133
A68,0.295833,0.286608,0.775417,0.22015,191,1700,1891
A69,0.389091,0.385668,0,0.261877,46,577,623
A70,0.316522,0.305,0.649565,0.23297,247,1730,1977
A71,0.329167,0.32575,0.594583,0.220775,724,1408,2132
A72,0.384348,0.380091,0.527391,0.270604,982,1435,2417
A73,0.325217,0.332,0.496957,0.136926,359,1687,2046
