col_ID,Target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
A1,5,61,35,39,18,1,17,29,1,3,70,3,6,68,45,32,17,10,0,40,30,4,8,101,6
A2,13,61,31,39,13,1,13,1,7,14,80,6,6,60,23,40,9,1,4,1,4,0,0,42,1
A3,8,52,53,48,20,4,37,50,1,9,106,4,5,77,57,23,15,9,1,41,41,4,13,126,6
A4,8,53,39,47,24,6,8,6,6,9,104,6,6,50,24,50,19,1,8,1,8,1,7,79,2
A5,0,76,63,24,12,4,16,35,3,12,128,6,4,53,59,47,32,17,11,59,79,3,5,127,1
A6,9,65,51,35,22,3,35,41,2,7,108,3,2,63,60,37,22,24,4,47,45,4,7,122,6
A7,5,68,73,32,24,3,41,50,9,17,173,6,6,60,66,40,34,2,6,57,72,10,17,173,3
A8,3,47,18,53,15,4,21,31,6,20,78,6,6,54,26,46,13,0,11,11,46,2,6,61,3
A9,3,64,26,36,12,4,20,39,3,7,67,5,4,67,42,33,14,12,11,32,20,7,10,94,7
A10,6,77,76,23,11,4,6,4,7,24,162,3,6,60,68,40,25,8,12,8,12,6,14,141,6
A11,7,53,46,47,35,7,47,58,4,5,126,3,6,66,62,34,24,16,4,49,46,7,19,152,6
A12,13,57,62,43,43,0,50,38,6,18,177,6,6,51,72,49,41,11,12,82,96,3,7,152,1
A13,16,65,40,35,17,4,35,25,0,2,74,4,3,67,45,33,13,6,4,31,17,4,10,94,6
A14,7,64,63,36,23,4,49,57,6,15,137,3,5,67,58,33,23,7,7,45,55,6,12,131,6
A15,4,60,50,40,23,2,4,2,10,28,151,6,6,55,55,45,23,2,3,2,3,4,14,128,7
A16,4,63,20,37,6,1,23,11,4,9,54,6,4,64,18,36,10,0,0,8,15,1,2,37,4
A17,2,68,34,32,7,4,22,41,5,7,75,3,4,53,28,47,21,2,6,33,30,8,12,96,6
A18,21,53,50,47,28,12,21,12,4,6,129,6,3,58,52,42,37,3,3,3,3,7,11,142,3
A19,10,50,39,50,26,3,28,38,1,3,91,5,5,58,42,42,23,7,4,37,31,5,16,114,7
A20,9,66,46,34,16,2,31,27,4,9,94,6,6,57,41,43,13,9,7,30,33,0,5,80,2
A21,13,60,58,40,21,8,40,36,3,10,140,6,6,64,74,36,27,18,11,62,64,5,9,153,1
A22,2,61,32,39,10,3,2,3,3,7,77,4,2,73,40,27,15,2,1,2,1,7,12,97,6
A23,6,58,36,42,22,1,25,23,5,11,101,6,6,59,35,41,18,1,2,31,45,1,3,78,4
A24,5,69,39,31,17,2,11,30,7,9,95,6,6,49,24,51,12,2,8,20,61,2,5,66,1
A25,7,58,27,42,11,3,19,9,4,4,65,7,5,52,22,48,11,4,7,18,35,1,2,55,5
A26,9,57,49,43,32,4,9,4,4,13,150,4,6,65,67,35,32,6,6,6,6,7,16,163,6
A27,20,55,60,45,31,3,20,3,5,12,148,5,6,65,57,35,30,8,0,8,0,3,8,133,7
A28,21,63,76,37,28,9,21,9,3,14,154,2,6,57,69,43,43,16,10,16,10,2,6,154,6
A29,25,66,55,34,18,1,48,27,1,3,93,6,3,83,68,17,12,8,2,41,7,2,3,108,7
A30,2,73,31,27,6,6,2,6,1,2,55,4,2,53,31,47,19,4,3,4,3,7,12,95,6
A31,3,60,46,40,29,5,33,36,2,13,125,5,5,62,63,38,20,19,13,58,66,4,11,134,7
A32,9,66,39,34,19,0,35,17,4,14,97,6,6,61,37,39,17,8,2,22,37,0,2,67,3
A33,13,52,36,48,19,3,34,38,0,1,74,4,4,58,40,42,19,11,5,30,17,4,17,96,6
A34,5,51,37,49,29,11,51,54,4,11,104,7,6,63,43,37,22,10,6,41,27,6,14,121,6
A35,5,58,49,42,24,4,5,4,9,17,133,6,6,55,50,45,21,14,8,14,8,3,6,112,7
A36,20,61,59,39,24,6,44,40,5,14,125,5,6,58,44,42,25,7,6,20,48,1,5,101,7
A37,41,63,109,37,36,4,111,81,2,25,231,7,4,56,114,44,57,32,18,75,53,4,10,230,6
A38,22,58,57,42,30,4,63,53,5,8,145,4,4,61,64,39,27,13,4,41,34,2,3,124,6
A39,8,53,39,47,24,6,33,37,4,7,98,4,6,60,41,40,16,4,9,21,36,4,8,93,6
A40,15,62,37,38,23,1,36,25,5,13,104,7,6,57,35,43,20,2,6,28,39,1,2,77,5
A41,9,54,25,46,21,2,27,10,2,5,71,6,7,78,36,22,6,10,0,23,23,0,3,52,2
A42,6,68,57,32,13,8,6,8,4,9,108,6,6,63,38,37,16,4,1,4,1,0,8,86,4
