col_ID,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,Target,MovingTime
A1,51.29,127.4,78.3,84.8,39.3,36.3
A2,51.63,130.3,81.8,88.9,37.9,34.9
A3,51.27,127.4,82,85.8,37.5,35.9
A4,49.17,132.3,74.2,82.9,39.8,35.6
A5,51.15,136.2,83.4,88.1,36.8,34.8
A6,51.8,135.8,84.5,88.8,36.8,35
A7,51.37,123.2,82.9,87.3,37.2,35.3
A8,49.01,128.3,77.5,85.9,37.9,34.3
A9,52.91,130.3,80.9,88.3,39.3,36
A10,51.17,122.3,70.6,78.1,43.5,39.3
A11,49.15,129.4,74,81.4,39.8,36.2
A12,51.77,124.8,71.7,78.9,43.3,39.4
A13,51.45,130.1,75.2,82.7,41.1,37.3
A14,49.01,119,77.4,82,38,35.9
A15,51.04,132.2,77.5,83.5,39.5,36.7
A16,52,137.8,76.5,87.8,40.8,35.5
A17,51.05,128.4,86.9,90.6,35.2,33.8
A18,49.04,124.6,71.1,80.2,41.4,36.7
A19,51.06,126.9,80.5,84.9,38.1,36.1
A20,51.68,123.5,68.1,75.8,45.6,40.9
A21,51.04,123.4,75.1,79.4,40.8,38.6
A22,51.67,123.5,76.6,82.7,40.5,37.5
A23,51.15,130.6,74.8,82.4,41,37.2
A24,49.19,126.1,65.4,74.2,45.1,39.8
A25,49.02,126.1,65.7,74,44.8,39.7
A26,51.14,126.8,87.3,90.2,35.2,34
A27,51.69,128.4,74,77.3,41.9,40.1
A28,51.07,125,74.6,81.5,41.1,37.6
A29,51.63,134.4,76.5,84.3,40.5,36.7
A30,51.1,126.5,79.9,85.6,38.4,35.8
A31,51.64,124.6,73.6,82,42.1,37.8
A32,51.25,123.5,77.3,81.9,39.8,37.6
A33,51.64,122.3,69.3,74.7,44.7,41.5
A34,50.18,124,71,79.5,42.4,37.9
A35,51.55,129.6,74.2,83.7,41.7,36.9
A36,51.38,124.6,80.1,84.4,38.5,36.5
A37,51.09,128.7,71.5,76.7,42.9,39.9
A38,51.71,125.6,76.3,81.8,40.7,37.9
A39,51,121.4,68.4,75.4,44.7,40.6
A40,51.74,112.2,55.3,61,56.2,50.9
A41,51.05,128.2,72.4,78.8,42.3,38.9
A42,51.63,127.1,71,75.5,43.6,41.1
A43,51.49,126.6,74,82.8,41.8,37.3
A44,51.69,124.9,73.3,80.3,42.3,38.6
A45,60.32,129.4,68.9,74.6,52.5,48.5
A46,51.6,126.4,67.3,73.6,46,42.1
A47,51.49,129.6,78.6,83.8,39.3,36.9
A48,51.65,128.6,76.1,82.6,40.7,37.5
A49,51.31,123.1,60.9,67.2,50.6,45.8
A50,52.25,127.3,38.1,50.3,82.3,62.4
A51,51.16,127.6,72.4,77.4,42.4,39.6
A52,51.67,127,70.9,77.7,43.7,39.9
A53,51.12,125.1,65,73.1,47.2,41.9
A54,51.7,129.8,73.4,80.4,42.3,38.6
A55,51.06,122.8,61.4,70.9,49.9,43.2
A56,51.5,127.6,70.5,77.7,43.8,39.8
A57,51.06,119.5,64.4,70.2,47.6,43.6
A58,51.66,126.4,55.2,59.1,56.1,52.5
A59,51.07,129.8,75.2,82.6,40.8,37.1
A60,51.68,132.5,69.8,74.7,44.4,41.5
A61,51.28,121.4,65.9,71.8,46.7,42.1
A62,51.79,127.5,65.6,72.4,47.3,42.9
A63,50.75,131.3,89.5,93.5,34.3,32.6
A64,51.82,126.8,66.1,73.9,47,42.1
A65,51.06,127.4,80.4,85.2,38.1,36
A66,51.62,125.4,74.9,82.9,41.4,37.4
A67,51.03,128.4,82.2,89.7,37.2,34.1
A68,51.81,130.2,82.1,85,37.9,36.6
A69,51.07,130.3,75.8,81.7,40.4,37.5
A70,51.83,133,80.6,85.4,38.6,36.4
A71,51.27,121.5,75.1,79.1,41,38.9
A72,51.83,129.3,72.5,78.1,42.9,39.8
A73,51.74,129.7,71.8,79.4,43.2,39.1
A74,51.06,125,76.4,85.7,40.1,35.7
